# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-259.9860	0.2274	0.0021	-1.0000	1.0000
-265.0110	0.2272	0.0020	-1.0000	1.0000
-270.0312	0.2260	0.0023	-1.0000	1.0000
-275.0362	0.2261	0.0022	-1.0000	1.0000
-280.0496	0.2266	0.0020	-1.0000	1.0000
-285.0896	0.2255	0.0022	-1.0000	1.0000
-289.9210	0.2254	0.0021	-1.0000	1.0000
-294.9260	0.2255	0.0023	-1.0000	1.0000
-299.9310	0.2248	0.0022	-1.0000	1.0000
-304.9360	0.2240	0.0022	-1.0000	1.0000
-309.9320	0.2244	0.0019	-1.0000	1.0000
-315.0904	0.2238	0.0022	-1.0000	1.0000
-320.0588	0.2238	0.0021	-1.0000	1.0000
-325.0538	0.2239	0.0020	-1.0000	1.0000
-330.0416	0.2224	0.0022	-1.0000	1.0000
-335.0066	0.2212	0.0022	-1.0000	1.0000
-339.9644	0.2214	0.0020	-1.0000	1.0000
-345.0968	0.2219	0.0020	-1.0000	1.0000
-350.0570	0.2215	0.0022	-1.0000	1.0000
-355.0820	0.2207	0.0023	-1.0000	1.0000
-360.0762	0.2223	0.0023	-1.0000	1.0000
-364.9912	0.2203	0.0024	-1.0000	1.0000
-369.9398	0.2190	0.0023	-1.0000	1.0000
-374.9748	0.2190	0.0023	-1.0000	1.0000
-379.9930	0.2185	0.0021	-1.0000	1.0000
-384.9680	0.2191	0.0022	-1.0000	1.0000
-389.9332	0.2175	0.0021	-1.0000	1.0000
-395.0708	0.2176	0.0022	-1.0000	1.0000
-399.9948	0.2174	0.0022	-1.0000	1.0000
-405.0804	0.2175	0.0020	-1.0000	1.0000
-409.9722	0.2164	0.0021	-1.0000	1.0000
-415.0630	0.2160	0.0024	-1.0000	1.0000
-419.9600	0.2150	0.0022	-1.0000	1.0000
-425.0560	0.2154	0.0021	-1.0000	1.0000
-429.9626	0.2150	0.0024	-1.0000	1.0000
-435.0742	0.2152	0.0022	-1.0000	1.0000
-439.9604	0.2141	0.0022	-1.0000	1.0000
-445.0096	0.2145	0.0024	-1.0000	1.0000
-450.0280	0.2139	0.0023	-1.0000	1.0000
-455.0200	0.2144	0.0023	-1.0000	1.0000
-460.0760	0.2131	0.0022	-1.0000	1.0000
-464.9760	0.2125	0.0021	-1.0000	1.0000
-470.0040	0.2116	0.0020	-1.0000	1.0000
-474.9960	0.2125	0.0021	-1.0000	1.0000
-480.0108	0.2116	0.0023	-1.0000	1.0000
-485.0340	0.2095	0.0022	-1.0000	1.0000
-490.0614	0.2096	0.0022	-1.0000	1.0000
-495.0898	0.2099	0.0022	-1.0000	1.0000
-500.0032	0.2088	0.0020	-1.0000	1.0000
-505.0900	0.2095	0.0025	-1.0000	1.0000
-510.0820	0.2080	0.0023	-1.0000	1.0000
-515.0668	0.2074	0.0022	-1.0000	1.0000
-519.9652	0.2069	0.0024	-1.0000	1.0000
-525.0560	0.2068	0.0023	-1.0000	1.0000
-529.9752	0.2050	0.0020	-1.0000	1.0000
-535.0292	0.2055	0.0021	-1.0000	1.0000
-539.9540	0.2059	0.0026	-1.0000	1.0000
-545.0456	0.2039	0.0022	-1.0000	1.0000
-549.9380	0.2037	0.0024	-1.0000	1.0000
-555.0260	0.2031	0.0019	-1.0000	1.0000
-559.9400	0.2027	0.0021	-1.0000	1.0000
-564.9732	0.2022	0.0022	-1.0000	1.0000
-569.9506	0.2020	0.0022	-1.0000	1.0000
-575.0566	0.2019	0.0022	-1.0000	1.0000
-580.0456	0.2009	0.0023	-1.0000	1.0000
-585.0428	0.2012	0.0020	-1.0000	1.0000
-590.0764	0.2000	0.0021	-1.0000	1.0000
-595.0092	0.1992	0.0022	-1.0000	1.0000
-600.0208	0.1991	0.0020	-1.0000	1.0000
-599.9600	0.1976	0.0021	1.0000	2.0000
-594.9676	0.1980	0.0021	1.0000	2.0000
-590.0110	0.1981	0.0022	1.0000	2.0000
-585.0048	0.1995	0.0025	1.0000	2.0000
-580.0792	0.1998	0.0023	1.0000	2.0000
-575.0386	0.1999	0.0021	1.0000	2.0000
-570.0542	0.2002	0.0021	1.0000	2.0000
-565.0082	0.2010	0.0022	1.0000	2.0000
-560.0576	0.2005	0.0021	1.0000	2.0000
-555.0638	0.2011	0.0022	1.0000	2.0000
-549.9424	0.2016	0.0021	1.0000	2.0000
-544.9612	0.2024	0.0023	1.0000	2.0000
