# B(mT)	 U (V)	 std (V)	 direction 	 loop 
425.0196	0.0517	0.0021	-1.0000	1.0000
419.9164	0.0515	0.0025	-1.0000	1.0000
415.0064	0.0517	0.0022	-1.0000	1.0000
409.9200	0.0510	0.0025	-1.0000	1.0000
405.0300	0.0506	0.0022	-1.0000	1.0000
399.9600	0.0507	0.0023	-1.0000	1.0000
395.0802	0.0507	0.0025	-1.0000	1.0000
390.0852	0.0492	0.0021	-1.0000	1.0000
385.0918	0.0499	0.0022	-1.0000	1.0000
379.9386	0.0499	0.0021	-1.0000	1.0000
374.9856	0.0498	0.0021	-1.0000	1.0000
370.0556	0.0513	0.0023	-1.0000	1.0000
364.9242	0.0515	0.0023	-1.0000	1.0000
359.9592	0.0514	0.0022	-1.0000	1.0000
354.9912	0.0519	0.0023	-1.0000	1.0000
350.0012	0.0520	0.0022	-1.0000	1.0000
345.0190	0.0522	0.0023	-1.0000	1.0000
340.0940	0.0516	0.0023	-1.0000	1.0000
334.9712	0.0508	0.0023	-1.0000	1.0000
330.0412	0.0497	0.0023	-1.0000	1.0000
324.9000	0.0493	0.0021	-1.0000	1.0000
319.9000	0.0492	0.0024	-1.0000	1.0000
314.9060	0.0485	0.0024	-1.0000	1.0000
309.9360	0.0475	0.0025	-1.0000	1.0000
304.9670	0.0467	0.0023	-1.0000	1.0000
300.0020	0.0466	0.0022	-1.0000	1.0000
295.0220	0.0477	0.0021	-1.0000	1.0000
289.9820	0.0483	0.0023	-1.0000	1.0000
284.9490	0.0485	0.0023	-1.0000	1.0000
279.9440	0.0487	0.0021	-1.0000	1.0000
274.9360	0.0489	0.0022	-1.0000	1.0000
269.9160	0.0497	0.0022	-1.0000	1.0000
264.9030	0.0500	0.0023	-1.0000	1.0000
259.9180	0.0507	0.0022	-1.0000	1.0000
254.9190	0.0504	0.0021	-1.0000	1.0000
250.0662	0.0509	0.0023	-1.0000	1.0000
245.0096	0.0504	0.0023	-1.0000	1.0000
239.9446	0.0497	0.0023	-1.0000	1.0000
235.0840	0.0506	0.0022	-1.0000	1.0000
230.0340	0.0503	0.0022	-1.0000	1.0000
224.9888	0.0501	0.0024	-1.0000	1.0000
219.9788	0.0505	0.0023	-1.0000	1.0000
214.9718	0.0507	0.0024	-1.0000	1.0000
209.9868	0.0503	0.0021	-1.0000	1.0000
205.0030	0.0515	0.0024	-1.0000	1.0000
200.0280	0.0511	0.0021	-1.0000	1.0000
195.0482	0.0515	0.0025	-1.0000	1.0000
190.0332	0.0514	0.0026	-1.0000	1.0000
185.0134	0.0516	0.0021	-1.0000	1.0000
179.9584	0.0513	0.0022	-1.0000	1.0000
174.9082	0.0511	0.0024	-1.0000	1.0000
170.0938	0.0508	0.0024	-1.0000	1.0000
165.0752	0.0508	0.0023	-1.0000	1.0000
160.0152	0.0513	0.0025	-1.0000	1.0000
154.9568	0.0503	0.0022	-1.0000	1.0000
149.9168	0.0505	0.0025	-1.0000	1.0000
145.0774	0.0503	0.0026	-1.0000	1.0000
140.0124	0.0498	0.0023	-1.0000	1.0000
134.9486	0.0493	0.0021	-1.0000	1.0000
129.9136	0.0495	0.0024	-1.0000	1.0000
125.0800	0.0489	0.0024	-1.0000	1.0000
120.0700	0.0480	0.0023	-1.0000	1.0000
115.0600	0.0478	0.0025	-1.0000	1.0000
109.9400	0.0469	0.0025	-1.0000	1.0000
105.0248	0.0459	0.0022	-1.0000	1.0000
99.9672	0.0449	0.0023	-1.0000	1.0000
94.9122	0.0438	0.0020	-1.0000	1.0000
90.0502	0.0426	0.0022	-1.0000	1.0000
84.9852	0.0418	0.0023	-1.0000	1.0000
79.9294	0.0405	0.0024	-1.0000	1.0000
75.0766	0.0390	0.0024	-1.0000	1.0000
70.0480	0.0375	0.0022	-1.0000	1.0000
65.0230	0.0358	0.0024	-1.0000	1.0000
59.9628	0.0348	0.0025	-1.0000	1.0000
55.1004	0.0329	0.0024	-1.0000	1.0000
50.0354	0.0314	0.0022	-1.0000	1.0000
44.9704	0.0298	0.0023	-1.0000	1.0000
40.1000	0.0285	0.0024	-1.0000	1.0000
35.0250	0.0269	0.0024	-1.0000	1.0000
29.9820	0.0253	0.0022	-1.0000	1.0000
24.9470	0.0238	0.0025	-1.0000	1.0000
19.9000	0.0222	0.0023	-1.0000	1.0000
15.0520	0.0204	0.0025	-1.0000	1.0000
9.9868	0.0181	0.0024	-1.0000	1.0000
4.9168	0.0153	0.0024	-1.0000	1.0000
0.0856	0.0138	0.0024	-1.0000	1.0000
-4.9344	0.0116	0.0022	-1.0000	1.0000
-9.9796	0.0090	0.0023	-1.0000	1.0000
-15.0346	0.0069	0.0025	-1.0000	1.0000
-20.0896	0.0050	0.0021	-1.0000	1.0000
-24.9424	0.0034	0.0022	-1.0000	1.0000
-29.9940	0.0016	0.0021	-1.0000	1.0000
-35.0440	-0.0002	0.0025	-1.0000	1.0000
-39.9016	-0.0023	0.0025	-1.0000	1.0000
-44.9666	-0.0041	0.0025	-1.0000	1.0000
-50.0316	-0.0062	0.0025	-1.0000	1.0000
-55.0966	-0.0079	0.0022	-1.0000	1.0000
-59.9620	-0.0092	0.0026	-1.0000	1.0000
-65.0320	-0.0113	0.0021	-1.0000	1.0000
-70.0810	-0.0132	0.0023	-1.0000	1.0000
-74.9146	-0.0151	0.0022	-1.0000	1.0000
-79.9664	-0.0165	0.0022	-1.0000	1.0000
-85.0314	-0.0182	0.0025	-1.0000	1.0000
-89.9042	-0.0201	0.0023	-1.0000	1.0000
-94.9892	-0.0220	0.0024	-1.0000	1.0000
-100.0326	-0.0243	0.0024	-1.0000	1.0000
-105.0376	-0.0255	0.0023	-1.0000	1.0000
-110.0894	-0.0272	0.0024	-1.0000	1.0000
-114.9806	-0.0294	0.0020	-1.0000	1.0000
-120.0420	-0.0304	0.0022	-1.0000	1.0000
-125.0670	-0.0321	0.0021	-1.0000	1.0000
-129.8998	-0.0328	0.0025	-1.0000	1.0000
